Aabenraa (DK), Verband Deutscher Büchereien Nordschleswig
Aachen, Stadtbibliothek
Aalen, Stadtbibliothek im Torhaus
Achern, Stadtbücherei
Ahaus, Stadtbücherei
Ahlen, Stadtbücherei
Albstadt, Stadtbücherei
Alzenau, Stadtbibliothek
Amberg, Stadtbibliothek
Arnstein, Stadtbibliothek
Arosa (CH), Gemeinde- und Schulbibliothek
Aschaffenburg, Stadtbibliothek
Asperg, Stadtbücherei
Augsburg, Stadtbücherei
Aurich, Stadtbibliothek
Bad Belzig, Stadtbibliothek
Bad Brückenau, Stadtbibliothek
Bad Dürkheim, Stadtbücherei
Bad Friedrichshall, Stadtbücherei
Bad Homburg, Stadtbibliothek
Bad Kissingen, Stadtbücherei
Bad Krozingen, Öffentliche Bibliothek
Bad Oldesloe, Stadtbibliothek
Bad Pyrmont, Stadtbibliothek
Bad Schwartau, Stadtbücherei
Bad Segeberg, Stadtbücherei
Bad Urach, Stadtbücherei
Bad Vilbel, Stadtbibliothek
Bad Waldsee, Stadtbücherei
Bad Zwischenahn, bibliothek am meer
Baden (CH), Stadtbibliothek
Baden-Baden, Stadtbibliothek
Balingen, Mediothek
Barmstedt, Stadtbücherei
Basel (CH), GGG Stadtbibliothek
Bautzen, Stadtbibliothek
Bayreuth, RW21 Stadtbibliothek
Beelitz, Stadtbibliothek
Bergheim, Stadtbibliothek
Bergrheinfeld, FindUthek Gemeindebibliothek
Berlin, John-F-Kennedy Schule OS Bibliothek
Berlin, Verbund öffentlicher Bibliotheken
Bern (CH), BFH - Berner Fachhochschule
BERN (CH), Gymnasium Neufeld Mediothek
Biberach, Kreis-Berufschulzentrum Bibliothek/Mediothek
Biberach, Stadtbücherei
Bielefeld, Stadtbibliothek
Bietigheim-Bissingen, Otto-Rombach-Bücherei
Birkenfeld, Gemeindebibliothek
Bischofswerda, Stadtbibliothek
Bobenheim-Roxheim, Gemeindebücherei
Bocholt, Stadtbibliothek
Bochum, Stadtbücherei
Böblingen, Stadtbibliothek
Bönen, Gemeindebücherei
Bonn, Stadtbibliothek
Bonndorf im Schwarzwald, Stadtbibliothek Bonndorf
Bordesholm, Gemeindebücherei
Bottrop, Lebendige Bibliothek
Brackenheim, Stadtbücherei
Bramsche, Stadtbücherei
Brandenburg/Havel, Fouqué Bibliothek
Braunschweig, Stadtbibliothek
Bredstedt, Stadtbücherei
Breisach, Öffentliche Bibliothek
Bremen, Staats- und Universitäts- bibliothek
Bremen, Stadtbibliothek
Bretten, Stadtbücherei
Bruchköbel, Stadtbibliothek
Bruchsal, Stadtbibliothek
Brück, Amt Bibliothek
Brühl, Gemeindebücherei
Buchen, Stadtbücherei
Buchs (CH), NTB Interstaatliche Hochschule für Technik Buchs
Bühl, Mediathek
Calw, Stadtbibliothek
Celle, Stadtbibliothek
Chemnitz, Stadtbibliothek
Chur (CH), Bibliothek Bildungszentrum für Gesundheit und Soziales
Chur (CH), Gewerbliche Berufsschule Chur Bibliothek
Chur (CH), Interkulturelle Bibliothek GR vossa lingua
Chur (CH), Kantonsbibliothek Graubünden
Chur (CH), Mediothek Bündner Kantonsschule
Chur (CH), Pädagogische Hochschule Graubünden, Mediothek
Chur (CH), Stadtbibliothek
Chur (CH), Theologische Hochschule Chur Bibliothek
Churwalden (CH), Bibliothek
Crailsheim, Stadtbibliothek
Cuxhaven, Stadtbibliothek
Darmstadt, Hochschule Bibliothek
Darmstadt, Schulzentrum Marienhöhe e. V. Mediothek
Darmstadt, Stadtbibliothek
Davos Platz (CH), Leihbibliothek
Davos Platz (CH), Schweizerische Alpine Mittelschule (SAMD) Mediathek
Delémont (CH), HES-SO - Haute École Spécialisée de Suisse occidentale
Denkendorf, Bücherei
Detmold, Stadtbücherei
Dettelbach, Mediathek im "KuK"
Dietzenbach, Stadtbücherei
Dillenburg, IMeNS, Lahn-Dill-Kreis
Dinslaken, Stadtbibliothek
Disentis/Mustér (CH), Biblioteca populara
Döbeln, Stadtbibliothek
Domat/Ems (CH), Gemeindebibliothek
Donaueschingen, Stadtbibliothek
Donzdorf, Stadtbücherei
Dormagen, Stadtbibliothek
Dortmund, Stadt- und Landesbibliothek
Dossenheim, Gemeindebücherei
Dresden, Städtische Bibliotheken
Düren, Stadtbücherei
Duisburg, Stadtbibliothek
Eberbach, Stadtbibliothek
Ebersbach-Neugersdorf, Stadtbibliothek
Eckernförde, Stadtbücherei
Ehningen, Bücherei
Elmshorn, Stadtbücherei
Elsdorf, Stadtbibliothek
Emmendingen, Stadtbibliothek
Emmerich, Stadtbücherei
Engen, Stadtbibliothek
Ennepetal, Stadtbücherei
Eppelheim, Stadtbibliothek
Erfurt, Universitäts- und Forschungs- bibliothek/Gotha
Erkrath, Stadtbücherei
Erlangen, Stadtbibliothek
Erlenbach, Stadtbibliothek
Eschborn, Stadtbüchereien
Eschweiler, Stadtbücherei
Espelkamp, Stadtbücherei
Essen, Stadtbibliothek
Esslingen, Stadtbücherei
Ettlingen, Stadtbibliothek
Eutin, Kreisbibliothek
Fellbach, Stadtbücherei
Filderstadt, Stadtbibliothek
Flensburg, Leihverkehrs- und Ergänzungsbibliothek
Flensburg, Stadtbücherei
Flims-Dorf (CH), Bibliothek
Frankenthal, Stadtbücherei
Frankfurt, Stadtbücherei
Frankfurt, Universitätsbibliothek Johann Christian Senckenberg
Freiburg, Albert-Ludwigs-Universität
Freiburg, Pädagogische Hochschule
Freiburg, Stadtbibliothek
Freiburg(CH), Université de Fribourg / Universität Freiburg
Freising, Stadtbibliothek
