UID,Bundesland,Stadt,Stadtbibliothek,Verbundlink,VB,,Kinderbibliothek,Jugendbibliothek,Schule & Lernen,Sachmedien & Ratgeber,Belletristik & Unterhaltung,Englische Bücher,Musik,Video,Medien2019,Medien2016/17,Stand,Stadt y Lat,Stadt x Long,Anschr,Tel,Web
1,Sachsen-Anhalt,Aschersleben,Aschersleben (Kreisbibliothek Aschersleben),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7591297","11,4619062",undef,undef,undef
2,Sachsen-Anhalt,Ballenstedt,Ballenstedt (Fürstin-Pauline-Bibliothek),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7203214","11,2383073",undef,undef,undef
3,Sachsen-Anhalt,Bernburg,Bernburg (Stadtbibliothek Bernburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7833579","11,7537327",undef,undef,undef
4,Sachsen-Anhalt,Bitterfeld-Wolfen,Bitterfeld-Wolfen (Stadtbibliothek Bitterfeld-Wolfen),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,6245997","12,3079926",undef,undef,undef
5,Sachsen-Anhalt,Braunsbedra,Braunsbedra (Stadtbibliothek Braunsbedra),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,2859413","11,8900785",undef,undef,undef
6,Sachsen-Anhalt,Burg,"Burg (Stadtbibliothek ""Brigitte Reimann"")",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,2709013","11,8553502",undef,undef,undef
7,Sachsen-Anhalt,Coswig,Coswig (Anhalt) (Stadtbibliothek Coswig (Anhalt)),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,885712","12,457511",undef,undef,undef
8,Sachsen-Anhalt,Dessau-Roßlau,Dessau-Roßlau (Anhaltische Landesbücherei Dessau),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8428278","12,2303935",undef,undef,undef
9,Sachsen-Anhalt,Eisleben,Eisleben (Regionales Medienzentrum),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,5195173","11,5576749",undef,undef,undef
10,Sachsen-Anhalt,Gardelegen,"Gardelegen (Stadt-, Kreis- und Gymnasialbibliothek Gardelegen)",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,5268376","11,4018356",undef,undef,undef
11,Sachsen-Anhalt,Genthin,Genthin (Stadt- u. Kreisbibliothek Genthin),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,4006218","12,1601527",undef,undef,undef
12,Sachsen-Anhalt,Halberstadt,"Halberstadt (Stadtbibliothek ""Heinrich Heine"")",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8948709","11,0496159",undef,undef,undef
13,Sachsen-Anhalt,Haldensleben,Haldensleben (Stadt- u. Kreisbibliothek Haldensleben),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,284424","11,4181494",undef,undef,undef
14,Sachsen-Anhalt,Halle,Halle (Stadtbibliothek Halle (Saale)),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,4969802","11,9688029",undef,undef,undef
15,Sachsen-Anhalt,Ilsenburg,Ilsenburg (Stadtbibliothek Ilsenburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8677998","10,6848786",undef,undef,undef
16,Sachsen-Anhalt,Klötze,Klötze (Stadt- und Kreisbibliothek Klötze),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,6276522","11,1639584",undef,undef,undef
